id,book,alignments,ch_match
JK007097,0842IbnNasirDinDimashqi.TawdihMushtabih,1,338
JK007099,1233SulaymanSibtIbnCabdWahhab.Taysir,1,169
JK007106,0246HishamSulami.HadithHisham,5,1447
JK007107,0676Nawawi.KhulasatAhkam,16,3458
JK007116,0806IbnHusaynZaynDinCiraqi.TaqribAsanid,1,174
JK007128,0597IbnJawzi.KashfMushkil,6,654
JK007503,0007MaymunIbnQaysAcsha.Diwan,1,87
JK007511,0001NabighaDhubyani.Diwan,1,164
JK007531,0045JarwalIbnAwsHutaya.Diwan,1,163
JK007546,0125Tirimmah.Diwan,1,88
JK009150,0643IbnNajjar.DhaylTarikhBaghdad,3,456
JK009151,0771TajDinSubki.RafcHajib,1,179
JK009154,0696IbnZahiri.Mashyakha,6,982
JK009179,0458Bayhaqi.QadaWaQadar,4,755
JK009180,0316IbnAbiDawudSijistani.Masahif,1,136
JK009189,0658IbnAbbar.MucjamAshab,2,387
JK009214,0685IbnYahyaSulami.CiqdDurar,6,951
JK009225,0487AbuCubaydBakri.SimtLaaliFiSharhAmali,3,581
JK009237,0638IbnCarabi.FutuhatMakkiyya,2,305
JK009242,0597IbnJawzi.WafaBiAhwalMustafa,15,4616
JK009249,0911Suyuti.TuhfatAbrar,1,295
JK009266,0800IbnCadilHanbali.LubabFiCulumKitab,12,2080
JK009296,1111MuhammadAminMuhibbi.NafahatRayhana,1,280
JK009318,0974IbnHajarHaytami.Inafa,4,509
JK009324,0449IbnBattalQurtubi.SharhSahihBukhari,185,43030
JK009332,1031CabdRaufMunawi.SayyidatNisa,1,220
JK009364,0255Jahiz.MahasinWaAddad,1,129
JK009379,0911Suyuti.Habaik,1,88
JK009390,1423CabbasAhmadSaqr.JamicAhadith,429,85868
JK009391,0576AbuTahirSilafi.Tuyurat,3,753
JK009396,0450AbuHasanMawardi.NukatWaCuyun,8,1297
JK009408,0430AbuNucaymIsbahani.MacrifatSahaba,80,16859
JK010001,1225IbnNasirNajdi.FawakihCidhab,10,1387
JK010552,0390IbnZakariyaNahrawani.JalisSalih,2,287
JK010565,0613CaliIbnZafir.BadaicBadaih,1,421
JK010605,0291IbnYahyaThaclab.MajalisThaclab,1,537
JK010621,0413AbuIshaqHusri.JamcJawahir,1,165
JK010635,0573NashwanHimyari.HurCin,1,78
JK010637,0463IbnRashiqQayrawani.CumdaFiMahasinShicr,4,693
JK010724,0692IbnCisaBahaDinIrbili.TadhkiraFakhriyya,1,192
JK010732,0597IbnMubarakBaghdadi.MuntahaTalab,1,90
JK010765,0224QasimIbnSallam.Amthal,1,161
JK010919,0571IbnCasakir.ArbacunaBuldaniyya,1,178
JK011068,0833IbnJazari.ManaqibAsadGhalib,1,160
JK011184,0750IbnTurkamani.JawharNaqi,6,803
JK011273,0327AbuBakrKharaiti.IctilalQulub,1,243
JK011302,0251IbnZanjawayh.Amwal,11,1880
JK011319,0316IbnAbiDawudSijistani.Bacth,1,331
JK011358,0275AbuDawudSijistani.Zuhd,4,846
JK011365,0197WakicIbnJarrah.Zuhd,4,592
JK011402,0345IbnMuhammadSamarqandi.FawaidMuntaqat,1,88
JK011413,0235IbnYunusBaghdadi.Qada,2,219
JK011486,0323CaliHimyari.Juz,1,189
JK011496,0381IbnCabdRahmanZuhri.Hadith,1,128
JK011497,0272IbnIshaqFakihi.HadithFakihi,6,1261
JK011499,0180IbnJacfarAnsari.HadithIsmacil,1,205
JK011548,0294IbnNasrMarwazi.SalatWitr,3,532
JK011565,0224QasimIbnSallam.FadailQuran,4,652
JK011593,0845Maqrizi.MukhtasarQiyamLayl,2,499
JK011598,0327AbuBakrKharaiti.MasawiAkhlaq,22,3661
JK011633,0340IbnAcrabiBasri.Mucjam,19,3794
JK011743,1252IbnCabidinDimashqi.TanqihFatawa,1,124
Kraken21041700,0973CabdWahhabShacrani.JawharMasun,1,230
Kraken2106220218081,0322AbuHatimRazi.Zina,5,1247
Kraken210630005153,0749IbnFadlAllahCumari.MasalikAbsar,5,878
Kraken2107192213391,0243HarithMuhasibi.Ricaya,1,195
Kraken2108092202141,0200AbuGhanimKhurasani.MudawwanaKubra,3,514
Kraken210809220218,0350MuhammadKindi.AkhbarQudatMisr,1,125
Kraken211201162527,1429MustafaSacidKhinn.IkhtilafAthar,2,917
Kraken220208041045,0565IbnZafar.AnbaNujabaAbna,1,227
Kraken22020817055002,0749ZaynDinIbnWardi.FathRahim,1,489
