id,book,alignments,ch_match
JK000918,0369AbuShaykhIsbahani.AkhlaqNabi,1,609
JK000919,0356AbuCaliQali.AmaliFiLugha,1,90
JK000926,1014MullaCaliQari.Adilla,6,1154
JK000927,0362AbuFarajIsbahani.Aghani,57,16458
JK000935,0368IbnJacfarQatici.Fawaid,3,830
JK000940,0769IbnCabdAllahTaqiDinShibli.AkamMarjan,52,13063
JK000942,0761IbnKaykaldiCalai.FusulMufida,1,95
JK000946,0369AbuShaykhIsbahani.AmthalFiHadith,2,465
JK000947,0320HakimTirmidhi.Amthal,3,563
JK000952,0562Samcani.Ansab,1,232
JK000966,0840IbnWazirYamani.ItharHaqq,5,528
JK000977,0430AbuNucaymIsbahani.MusnadMustakhrajCalaSahihMuslim,81,18635
JK000990,1338TahirJazairiDimashqi.TawjihNazar,1,191
JK000991,0794BadrDinZarkashi.NukatCalaMuqaddimatIbnSalah,1,111
JK000999,0597IbnJawzi.BustanWacizin,5,2483
JK001001,0739JalalDinQazwini.IdahFiCulumBalagha,3,306
JK001002,0761IbnKaykaldiCalai.JuzFiTafsirBaqiyat,4,825
JK001012,1255Shawkani.TuhfatDhakirin,4,898
JK001017,0956IbnMuhammadHalabiHanafi.NicmatDharica,4,566
JK001036,1255Shawkani.IrshadThiqat,7,2175
JK001039,0281IbnAbiDunya.IshrafFiManazil,4,669
JK001040,0281IbnAbiDunya.IslahMal,2,218
JK001045,0438IbnYusufJuwayni.RisalaFiIthbat,1,279
JK001046,0911Suyuti.ItmamDiraya,5,1112
JK001050,0569IbnAhmadCattarHamadhani.Futya,1,312
JK001081,0273HanbalIbnIshaqShaybani.Fitan,9,2416
JK001102,0265SalihIbnHanbal.SiratImam,1,291
JK001103,0774IbnMuhammadShamsDinIbnMawsili.HusnSuluk,1,179
JK001117,0694MuhibbDinTabari.KhulasatSiyar,1,258
JK001122,0246IbnCumarDuri.JuzFihiQiraat,2,625
JK001127,0281IbnAbiDunya.Tahajjud,1,242
JK001140,0768Yafici.MarhamCilalMucdila,8,1287
JK001173,0748Dhahabi.MuntaqaMinMinhajIctidal,12,2388
JK001184,0241IbnHanbal.MasailRiwayatSalih,5,1180
JK001194,0281IbnAbiDunya.Mutamannin,1,326
JK001202,0303Nasai.Nucut,4,966
JK001224,0538JarAllahZamakhshari.MufassalFiSuncatIcrab,1,108
JK001226,0744IbnCabdHadi.SarimMunki,7,1184
JK001227,0911Suyuti.SharhSudur,31,6823
JK001233,0764Safadi.ShucurBiCur,1,466
JK001235,0282IbnIshaqJahdami.JuzFihiHadith,2,739
JK001236,0745IbnMuhammadTaqiDinIbnImam.SilahMumin,12,2398
JK001239,0911Suyuti.ShamailSharifa,1,100
JK001241,0430AbuNucaymIsbahani.DhikrManIsmuhuShucba,1,117
JK001242,1033MarciKarmi.RafcShubha,1,150
JK001258,0911Suyuti.TahdhirKhawass,1,179
JK001259,0606FakhrDinRazi.AsasTaqdis,2,330
JK001263,0377IbnAhmadCasqalani.TanbihWaRadd,31,10569
JK001266,0600CabdGhaniMaqdisi.TarghibFiDuca,1,90
JK001274,0369AbuShaykhIsbahani.Tawbikh,2,416
JK001283,0275IbnMuhammadMarwazi.Warac,2,328
JK001284,0456IbnHazm.HajjatWidac,2,359
JK001286,0809IbnQunfudh.WasilatIslam,1,153
JK001288,0458Bayhaqi.ZuhdKabir,2,321
JK001293BK1,0748Dhahabi.MizanIctidal,15,2430
JK001293BK2,0806IbnHusaynNajmDinCiraqi.DhaylMizan,1,155
JK001297,0509IbnShahridarDaylami.Firdaws,12,1824
JK001311,0696CumarSunami.NisabIhtisab,1,172
JK001324,0974IbnHajarHaytami.SawaciqMuhriqa,4,595
JK001325,1315Salawi.IstiqsaLiAhkbar,10,2748
JK001336,0850ShihabDinIbshihi.Mustatraf,8,1952
JK001412,0896IbnCaliIbnAzraqGharnati.BadaicSilk,4,1172
JK001419,0727IbnIbrahimIbnJamaca.IdahDalil,1,127
JK001429,0643DiyaDinMaqdisi.FadailAcmal,5,1319
JK001435,0280CuthmanIbnSacidDarimi.RaddCalaJahmiyya,24,4698
JK001460,0911Suyuti.MuzhirFiCulumLugha,2,164
JK001480,0741IbnAhmadGharnatiKalbi.TashilLiCulumTanzil,8,1166
JK001487,0387IbnBattaCukbari.IbanaCanSharica,56,13707
JK001493,0292Yacqubi.Tarikh,4,483
JK003501,0927Culaymi.UnsJalil,24,4509
JK003504,0249Azraqi.AkhbarMakka,30,9931
JK003609,0764Safadi.WafiBiWafayat,18,3337
JK005004,0911Suyuti.LaaliMasnuca,15,3306
JK005005,0963IbnMuhammadIbnCiraqKanani.TanzihSharica,8,1691
JK005008,0682IbnYahyaGhassani.TakhrijAhadithDicaf,2,310
JK005014,1277IbnDarwishHut.AsnaMatalib,2,375
JK005018,0748Dhahabi.TalkhisMawducatIbnJawzi,2,381
JK005022,0771TajDinSubki.AhadithIhyaLaIsnadaLaha,5,635
JK005200,0743FakhrDinZaylaci.TabyinHaqaiq,4,529
JK006476,0489IbnMuhammadSamcani.TafsirQuran,479,70826
JK006670,0852IbnHajarCasqalani.ZahrNadirFiHalKhadir,3,794
JK006705,0911Suyuti.HamcHawamic,1,75
JK006800,0224QasimIbnSallam.Amwal,16,2704
JK006801,0852IbnHajarCasqalani.MatalibCaliya,73,15520
JK006833,0290IbnAhmadIbnHanbal.Sunna,29,7149
JK006838,0458Bayhaqi.DalailNubuwwa,249,74125
JK006870,1206IbnCabdWahhab.Tawhid,8,1733
JK006874,1206IbnCabdWahhab.FadlIslam,7,1257
JK006884,1206IbnCabdWahhab.AhkamTamanniMawt,8,1575
JK006897,1206IbnCabdWahhab.Hadith,26,5598
JK006908,0609AbuCabbasJarrawi.HamasaMaghribiyya,1,131
JK006919,0502RaghibIsbahani.MuhadaratUdaba,7,896
JK006922,0328AbuBakrIbnAnbari.ZahirFiMacani,21,2708
JK006950,0728IbnTaymiyya.RasailWaFatawa,36,6047
JK007001,0306Wakic.AkhbarQudat,11,2160
JK007006,1031CabdRaufMunawi.TaysirBiSharh,5,797
JK007007,0197IbnWahbQurashi.JamicFiHadith,8,1350
JK007011,0732IbnYacqubJanadi.SulukFiTabaqat,2,592
JK007014,0902Sakhawi.GhayaFiSharh,1,78
JK007016,0310IbnAhmadDulabi.KunaWaAsma,27,4881
JK007018,0660SultanCulamaCizzDinDimashqi.TafsirQuran,440,70062
JK007020,0842IbnNasirDinDimashqi.SalwatKaib,1,206
JK007025,0564IbnCabdWahidSamarqandi.Majlis,12,2341
JK007036,0686IbnZakariyaManbiji.LubabFiJamc,9,2492
JK007040,0370AbuMansurAzhari.TahdhibLugha,50,8315
JK007049,0235IbnAbiShayba.Musnad,35,8805
JK007054,0763IbnMuflihMaqdisi.AdabSharciyya,12,2256
JK007062,0902Sakhawi.Buldaniyyat,2,342
JK007063,0597IbnJawzi.Tabsira,63,18559
JK007064,1307Qannawji.RawdaNadiyya,8,1130
JK007065,0488IbnFutuhHumaydi.JamcBaynaSahihayn,213,61049
JK007081,1094IbnMusaKaffawi.Kulliyat,1,65
JK007082,0333IbnMarwanDinawari.MujalasaWaJawahirCilm,21,4456
JK007083,0744IbnCabdHadi.MuharrirFiHadith,8,2021
JK007094,0412Sulami.Tafsir,9,952
JK007095,0399IbnAbiZamanaynIlbiri.Tafsir,77,14835
JK007099,1233SulaymanSibtIbnCabdWahhab.Taysir,45,7433
JK007105,0379IbnMuzaffarBazzaz.HadithShucba,1,172
JK007106,0246HishamSulami.HadithHisham,4,1176
JK007107,0676Nawawi.KhulasatAhkam,7,1171
JK007116,0806IbnHusaynZaynDinCiraqi.TaqribAsanid,22,7239
JK007128,0597IbnJawzi.KashfMushkil,18,3292
JK007134,0597IbnJawzi.NuzhatAcyun,1,210
JK007503,0007MaymunIbnQaysAcsha.Diwan,1,124
JK007551,0117DhuRumma.Diwan,1,177
JK008250Vols,0310Tabari.TahdhibAthar,229,64319
JK009150,0643IbnNajjar.DhaylTarikhBaghdad,3,464
JK009151,0771TajDinSubki.RafcHajib,2,606
JK009154,0696IbnZahiri.Mashyakha,12,2847
JK009172,0281IbnAbiDunya.SifatNar,25,5519
JK009179,0458Bayhaqi.QadaWaQadar,39,8460
JK009180,0316IbnAbiDawudSijistani.Masahif,14,3683
JK009189,0658IbnAbbar.MucjamAshab,2,338
JK009214,0685IbnYahyaSulami.CiqdDurar,12,2548
JK009220,0403AbuBakrBaqillani.Insaf,4,902
JK009225,0487AbuCubaydBakri.SimtLaaliFiSharhAmali,3,258
JK009228,0600AbuBaqaHilli.ManaqibMazyadiyya,6,1642
JK009237,0638IbnCarabi.FutuhatMakkiyya,8,2446
JK009242,0597IbnJawzi.WafaBiAhwalMustafa,54,13068
JK009249,0911Suyuti.TuhfatAbrar,2,314
JK009252,0911Suyuti.MufhimatAqran,4,797
JK009256BK2,0852IbnHajarCasqalani.NukatZiraf,4,463
JK009266,0800IbnCadilHanbali.LubabFiCulumKitab,761,142136
JK009288,0414AbuHayyanTawhidi.Basair,1,145
JK009324,0449IbnBattalQurtubi.SharhSahihBukhari,190,41138
JK009332,1031CabdRaufMunawi.SayyidatNisa,1,90
JK009365,1031BahaDinCamili.Kashkul,3,292
JK009379,0911Suyuti.Habaik,43,9759
JK009388,0911Suyuti.Baha,1,234
JK009390,1423CabbasAhmadSaqr.JamicAhadith,363,74904
JK009391,0576AbuTahirSilafi.Tuyurat,4,771
JK009396,0450AbuHasanMawardi.NukatWaCuyun,689,118710
JK009408,0430AbuNucaymIsbahani.MacrifatSahaba,112,23691
JK010001,1225IbnNasirNajdi.FawakihCidhab,313,48902
JK010081,0626IbnMuhammadKhwarazmiSakkaki.MiftahCulum,1,175
JK010138,1163MuhammadHayatSindi.FathGhufur,1,264
JK010216,0320HakimTirmidhi.Manhiyyat,1,306
JK010344,0346Mascudi.MurujDhahab,1,247
JK010427,0634IbnNajmIbnHanbaliJazari.IstikhrajJidal,3,371
JK010552,0390IbnZakariyaNahrawani.JalisSalih,18,4800
JK010611,0414AbuHayyanTawhidi.Sadaqa,1,148
JK010635,0573NashwanHimyari.HurCin,1,123
JK010637,0463IbnRashiqQayrawani.CumdaFiMahasinShicr,1,197
JK010666,0337IbnIshaqZajjaji.Akhbar,2,297
JK010672,0425RaqiqQayrawani.QutbSurur,1,93
JK010724,0692IbnCisaBahaDinIrbili.TadhkiraFakhriyya,2,250
JK010731,0362SariRaffa.MuhibbWaMahbub,1,126
JK010748,0310IbnCabbasYazidi.Amali,1,151
JK010763,0573NashwanHimyari.KhulasatSiyar,5,926
JK010766,1102NurDinYusi.ZahrAkam,2,382
JK010770,0854IbnCarabshah.FakihatKhulafa,1,58
JK010919,0571IbnCasakir.ArbacunaBuldaniyya,2,491
JK011032,0711IbnManzurIfriqi.SururNafs,2,178
JK011044,0758NajmDinTarsusi.TuhfatTurk,2,223
JK011068,0833IbnJazari.ManaqibAsadGhalib,38,10250
JK011090,0803IbnLahhamCalaDinBacli.IkhtiyaratCilmiyya,8,1469
JK011115,0598IbnIbrahimIbnHajjQunawi.HazzGhalasim,9,1200
JK011184,0750IbnTurkamani.JawharNaqi,9,1234
JK011225,1014MullaCaliQari.SharhMusnadAbiHanifa,6,1180
JK011273,0327AbuBakrKharaiti.IctilalQulub,3,907
JK011302,0251IbnZanjawayh.Amwal,24,5878
JK011319,0316IbnAbiDawudSijistani.Bacth,8,1663
JK011358,0275AbuDawudSijistani.Zuhd,8,1439
JK011365,0197WakicIbnJarrah.Zuhd,2,213
JK011402,0345IbnMuhammadSamarqandi.FawaidMuntaqat,1,116
JK011437,0156IbnAbiCuruba.Manasik,5,797
JK011455,0360AbuBakrAjurri.TahrimNard,1,128
JK011496,0381IbnCabdRahmanZuhri.Hadith,7,1965
JK011497,0272IbnIshaqFakihi.HadithFakihi,3,544
JK011498,0430AbuNucaymIsbahani.JuzAhadithCanAbiCaliSawwaf,2,389
JK011499,0180IbnJacfarAnsari.HadithIsmacil,3,512
JK011503,0385IbnShahin.JuzHadith,2,272
JK011516,0281IbnAbiDunya.DhammGhiba,2,268
JK011548,0294IbnNasrMarwazi.SalatWitr,1,265
JK011564,0301AbuBakrFaryabi.FadailQuran,1,227
JK011565,0224QasimIbnSallam.FadailQuran,20,3854
JK011566,0294IbnDurays.FadailQuran,7,1392
JK011593,0845Maqrizi.MukhtasarQiyamLayl,13,2790
JK011598,0327AbuBakrKharaiti.MasawiAkhlaq,8,1519
JK011624,0348IbnSalmanNajjad.MusnadCumarIbnKhattab,1,227
JK011633,0340IbnAcrabiBasri.Mucjam,22,4010
JK011645,0366IbnCabdAllahNaysaburi.ManWafaqatKunyatuhu,1,223
JK011690BK2,0786IbnMuhammadBabarti.CinayaSharhHidaya,1,92
Kraken210323052121,1420AbuHasanNadwi.QawacidFiqhiyya,2,247
Kraken210323052137,1420MustafaAhmadZarqa.MadkhalFiqhi,1,207
Kraken21041700,0973CabdWahhabShacrani.JawharMasun,2,222
Kraken21052100,0517AbuTahirBaghdadi.QanunBalagha,1,124
Kraken210622021806,0548Shahrastani.MafatihAsrar,73,15707
Kraken2106220218081,0322AbuHatimRazi.Zina,18,3313
Kraken210622021811,0322AbuHatimRazi.Islah,3,558
Kraken210622021812,0361AbuYacqubSijistani.Maqalid,5,1013
Kraken210630005153,0749IbnFadlAllahCumari.MasalikAbsar,47,10504
Kraken2107192213391,0243HarithMuhasibi.Ricaya,3,436
Kraken2107192213411,0763IbnNaqqash.Madhamma,6,1541
Kraken2107192215372,0739ShamsDinJazari.HawadithZaman,1,225
Kraken2108092202141,0200AbuGhanimKhurasani.MudawwanaKubra,6,1053
Kraken210809220218,0350MuhammadKindi.AkhbarQudatMisr,1,168
Kraken210809220219,0214IbnCabdHakamMisri.MukhtasarKabir,1,213
Kraken210901163531,0582IbnBarri.Tanbih,1,132
Kraken211005012007,0775Anonymous.InsafFiIntisaf,2,297
Kraken211201162527,1429MustafaSacidKhinn.IkhtilafAthar,12,2739
Kraken220204081839,0632AbuHafsSuhrawardi.CawarifMacarif,5,1135
Kraken220208041038,0768Yafici.RawdRayahin,2,212
Kraken220208041040,1031CabdRaufMunawi.KawakibDurriyya,1,113
Kraken220208041045,0565IbnZafar.AnbaNujabaAbna,3,1579
Kraken22020817055001,0638IbnCarabi.Isra,1,83
Kraken220216061206,0597IbnJawzi.MajalisFiMutashabih,5,988
Kraken22021606121201,0697IbnWasil.TajridAghani,23,6638
Kraken22021606121700,0508AbuMucinNasafi.BahrKalam,2,383
Kraken22021606121901,0889IbnQawan.SharhCaqaidCadudiyya,1,116
Kraken22021606122001,0561CabdQadirJilani.SirrAsrar,2,531
Kraken22021606122005,0449AbuCalaMacarri.RisalaFiTacziya,1,107
Kraken220216061221,1014MullaCaliQari.MinahRawdAzhar,1,295
Kraken22021606122302,0561CabdQadirJilani.JalaKhatir,1,181
Kraken22021606122502,0317IbnShuqayr.Muhalla,2,244
Kraken22021606122503,0843IbnKhatibNasiriyya.DurrMuntakhabFiTakmilatTarikhHalab,2,454
Kraken22021606123201,0885BurhanDinBiqaci.NukatWaFawaid,8,1780
Kraken22021802055100,0745MuayyadYahyaIbnHamzaCalawi.TamhidFiSharh,1,127
Kraken22021802055200,0463KhatibBaghdadi.TarikhAnbiya,51,15120
Kraken22021802055301,0573QadiJacfar.MaqawidInsaf,2,307
Kraken22021802055302,0911Suyuti.Wushshah,3,510
Kraken22021802055303,0325AhmadIbnHadiIlaHaqq.Najat,1,125
Kraken220218125253,0814IbnNahhas.MasharicAshwaq,24,5742
Kraken220218125255,1283SafaDinBandaniji.JamicAnwar,12,4254
Kraken22021817402400,0243HarithMuhasibi.Wasaya,3,490
Kraken220308195640,0697IbnWasil.TarikhSalihi,1,309
Kraken22031816264700,0815MuhibbDinIbnShihna.RawdMunazir,2,414
Kraken22031816264701,1007Saktawari.MuhadaratAwail,3,798
Kraken220410202736,0321Tahawi.Mukhtasar,1,149
Kraken220410202738,0321Tahawi.IkhtilafFuqaha,1,147
Kraken220413030759,0776MuhammadIbnHasanWasiti.MajmacAhbab,22,5483
Kraken220413030832,0717AbuCaliSakuni.UyunMunazarat,3,672
